NEWS CHANNEL,#genre#
Arena Sport 6 RS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31607/index.m3u8
Arena Sport 7 RS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31608/index.m3u8
Arena Sport 8 RS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31609/index.m3u8
Arena Sport 9 RS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31610/index.m3u8
Arena Sport 1x2 RS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31611/index.m3u8
AT&T SPORTSNET HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/11107/index.m3u8
Bally Sports Great Lakes,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19149/index.m3u8
Bally SPORTS MIDWEST,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19153/index.m3u8
BALLY SPORTS NORTH,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19152/index.m3u8
BALLY SPORTS SUN,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19150/index.m3u8
BALLY SPORTS SOUTHEAST CAROLINAS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19151/index.m3u8
Bein Sports 1 HD FR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2499/index.m3u8
Bein Sports 2 HD FR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2500/index.m3u8
Bein Sports 3 HD FR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2501/index.m3u8
beIN Sports Max 1 FullHD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19062/index.m3u8
beIN Sports Max 2 FullHD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19063/index.m3u8
beIN Sports Haber HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19064/index.m3u8
beIN Sports Max 1 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19065/index.m3u8
beIN Sports Max 2 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19066/index.m3u8
BOX SportCast HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31650/index.m3u8
BOX SportCast Live 1 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/20166/index.m3u8
BOX SportCast Live 2 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/20167/index.m3u8
BOX SportCast Live 3 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/20168/index.m3u8
BOX SportCast Live 4 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/20169/index.m3u8
BOX SportCast Live 5 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/20170/index.m3u8
BOX SportCast Live 6 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31648/index.m3u8
BOX SportCast Live 7 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31649/index.m3u8
CBS SPORTS NETWORK US,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7324/index.m3u8
Cosmote Sport 1 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31578/index.m3u8
Cosmote Sport 2 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31579/index.m3u8
Cosmote Sport 3 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31581/index.m3u8
Cosmote Sport 4 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31582/index.m3u8
Cosmote Sport 5 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31583/index.m3u8
Cosmote Sport 6 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31584/index.m3u8
Cosmote Sport 7 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31585/index.m3u8
Cosmote Sport 8 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31586/index.m3u8
Cosmote Sport 9 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31587/index.m3u8
Cosmote Sport Highlights GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31588/index.m3u8
Cytavision Sports 1 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31572/index.m3u8
Cytavision Sports 2 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31573/index.m3u8
Cytavision Sports 3 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31574/index.m3u8
Cytavision Sports 5 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31575/index.m3u8
Cytavision Sports 6 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31576/index.m3u8
Cytavision Sports 7 GR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31577/index.m3u8
Eleven Sports 1 HD PT,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2531/index.m3u8
Eleven Sports 2 HD PT,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2532/index.m3u8
Eleven Sports 4 PT,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2534/index.m3u8
Eleven Sports 5 PT,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2535/index.m3u8
Eleven Sports 6 PT,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7064/index.m3u8
Espn News HD USA,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19154/index.m3u8
ESPN 2 HD USA,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19155/index.m3u8
ESPN USA,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19156/index.m3u8
Eurosport 1,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/141/index.m3u8
Eurosport 1 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/228/index.m3u8
Eurosport 1 HD orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/5075/index.m3u8
Eurosport 1 orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9247/index.m3u8
Eurosport 2 North-East HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/234/index.m3u8
Eurosport 2 North-East HD orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/5076/index.m3u8
Eurosport 4K,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/4004/index.m3u8
Eurosport Gold HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15226/index.m3u8
Eurosport_Gold_HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15167/index.m3u8
Extreme Sports,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/144/index.m3u8
Extreme Sports orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9160/index.m3u8
FAST&FUN BOX HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/1018/index.m3u8
Fastnfunbox,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15231/index.m3u8
Fightbox,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15232/index.m3u8
FOX SPORTS 1 US,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7322/index.m3u8
FOX SPORTS 2 US,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7323/index.m3u8
Fox Sports South,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19138/index.m3u8
FOX SPORTS ARIZONA HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19139/index.m3u8
FOX SPORTS FLORIDA HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19140/index.m3u8
FOX SPORTS HOUSTON HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19141/index.m3u8
FOX SPORTS PRIME TICKET HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19142/index.m3u8
FOX SPORTS SOUTHWEST PLUS HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19143/index.m3u8
FOX SPORTS SPORTSTIME OHIO HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19144/index.m3u8
FOX SPORTS SUN HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19145/index.m3u8
FOX SPORTS OKLAHOMA HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19146/index.m3u8
Fuel TV HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2396/index.m3u8
KHL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/519/index.m3u8
M-1 Global TV,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/843/index.m3u8
M-1 Global TV orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9161/index.m3u8
NBC SPORTS NETWORK US,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7327/index.m3u8
NESN HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/11109/index.m3u8
Polsat Sport FHD PL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7296/index.m3u8
POLSAT SPORT NEWS HD PL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7303/index.m3u8
POLSAT SPORT PREMIUM 1 PL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7304/index.m3u8
POLSAT SPORT PREMIUM 2 PL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7305/index.m3u8
POLSAT SPORT PREMIUM 3 PPV PL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7306/index.m3u8
POLSAT SPORT PREMIUM 4 PPV PL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7307/index.m3u8
POLSAT SPORT PREMIUM 5 PPV PL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7308/index.m3u8
POLSAT SPORT PREMIUM 6 PPV PL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7309/index.m3u8
POLSAT SPORT EXTRA HD PL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7310/index.m3u8
POLSAT SPORT FIGHT HD PL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7311/index.m3u8
QSport HD KG,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15238/index.m3u8
Red Bull TV,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/16039/index.m3u8
Red Bull TV HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/16040/index.m3u8
RMC Sport 1 HD FR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2545/index.m3u8
RMC Sport 2 HD FR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2546/index.m3u8
RMC Sport 3 HD FR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2547/index.m3u8
RMC SPORT 4,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19200/index.m3u8
Russian Extreme HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2077/index.m3u8
Setanta Eurasia HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15183/index.m3u8
Setanta Eurasia+,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15184/index.m3u8
Setanta HD KZ orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9094/index.m3u8
Setanta Qazaqstan HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2399/index.m3u8
Setanta Sports 2,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/270/index.m3u8
Setanta Sports 2 orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/5070/index.m3u8
Setanta Sports HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/271/index.m3u8
Setanta Sports HD orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/5069/index.m3u8
Setanta Sports Ukraine HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/272/index.m3u8
Setanta Sports Ukraine HD orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/5068/index.m3u8
SKY HIGH FIGHT + HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15097/index.m3u8
SKY SPORT 24,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19127/index.m3u8
SKY SPORT ARENA,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19128/index.m3u8
SKY SPORT CALCIO,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19129/index.m3u8
SKY SPORT FOOTBALL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19131/index.m3u8
SKY SPORT GOLF,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19132/index.m3u8
SKY SPORT MOTOGP,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19133/index.m3u8
SKY SPORT NBA,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19134/index.m3u8
SPECTRUM SPORTSNET,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/11108/index.m3u8
Sport 1 Baltica,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15235/index.m3u8
Sport 2 Baltic,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15236/index.m3u8
Sport Klub 1 HD HR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7269/index.m3u8
Sport Klub 2 HD HR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7270/index.m3u8
Sport Klub 3 HD HR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7271/index.m3u8
Sport Klub 4 HD HR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7272/index.m3u8
Sport Klub 5 HD HR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7273/index.m3u8
Sport Klub 6 HD HR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7274/index.m3u8
Sport Klub 7 HD HR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7275/index.m3u8
Sport Klub 8 HD HR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7276/index.m3u8
Sport Klub Golf HR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7277/index.m3u8
Sport Klub HD HR,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/7278/index.m3u8
Super Tennis HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/6079/index.m3u8
TNT SPORTS 1 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19051/index.m3u8
TNT SPORTS 2 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19052/index.m3u8
TNT SPORTS 3 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19053/index.m3u8
TNT SPORTS 4 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19054/index.m3u8
TNT SPORTS 6 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/19055/index.m3u8
Tring Sport 1 AL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31563/index.m3u8
Tring Sport 2 AL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31564/index.m3u8
Tring Sport 3 AL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31565/index.m3u8
Tring Sport 4 AL,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31566/index.m3u8
UFC FIGHT PASS,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/6554/index.m3u8
UFC HD orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/5067/index.m3u8
UFC ТВ,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2000/index.m3u8
V Sport Football FHD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/11110/index.m3u8
V Sport Hockey FHD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/11111/index.m3u8
Viasat Fotboll HD SK orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/5078/index.m3u8
Viasat Sport,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/160/index.m3u8
Viasat Sport HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2007/index.m3u8
VIASAT Sport HD orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/5065/index.m3u8
VIASAT SPORT JALKAPALLO HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/11113/index.m3u8
Viasat Sport orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9249/index.m3u8
VIASAT SPORT URHEILU HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/11112/index.m3u8
Vital Sport 1,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31675/index.m3u8
Vital Sport 2,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31676/index.m3u8
Vital Sport 3,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31677/index.m3u8
Vital Sport 4,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31678/index.m3u8
Vital Sport 5,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31679/index.m3u8
Vital Sport 6,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/31680/index.m3u8
WWE Russian,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/11056/index.m3u8
XSPORT HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/996/index.m3u8
Бокс ТВ,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/870/index.m3u8
Матч Арена HD orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9010/index.m3u8
Матч Игра HD 50,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/10014/index.m3u8
МАТЧ ПРЕМЬЕР HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/220/index.m3u8
Матч ТВ,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/535/index.m3u8
Матч футбол 2 HD 50,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/10027/index.m3u8
Матч Футбол 3 HD 50,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/10016/index.m3u8
Матч! FHD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2413/index.m3u8
Матч! Арена HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/207/index.m3u8
Матч! Боец orig,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/9159/index.m3u8
Матч! Игра FHD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2406/index.m3u8
Матч! Планета,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/123/index.m3u8
Матч! Премьер FHD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2414/index.m3u8
МАТЧ! СТРАНА,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/107/index.m3u8
Матч! Футбол 1 FHD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2407/index.m3u8
Матч! Футбол 2 FHD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2420/index.m3u8
Матч! Футбол 3 FHD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2408/index.m3u8
Мир Баскетбола,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/10033/index.m3u8
Моторспорт ТВ,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/2145/index.m3u8
Наш Спорт 10 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15149/index.m3u8
Наш Спорт 11 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15150/index.m3u8
Наш Спорт 12 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15151/index.m3u8
Наш Спорт 13 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15152/index.m3u8
Наш Спорт 14 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15153/index.m3u8
Наш Спорт 15 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15154/index.m3u8
Наш Спорт 16 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15155/index.m3u8
Наш Спорт 17 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15156/index.m3u8
Наш Спорт 18 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15157/index.m3u8
Наш Спорт 19 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15158/index.m3u8
Наш Спорт 20 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15159/index.m3u8
Наш Спорт 21 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15160/index.m3u8
Наш Спорт 22 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15161/index.m3u8
Наш Спорт 23 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15162/index.m3u8
Наш Спорт 24 HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/15163/index.m3u8
Русский Экстрим UHD 4K,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/5003/index.m3u8
Спортивный HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/10057/index.m3u8
Старт HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/6384/index.m3u8
Телеканал КХЛ HD,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/215/index.m3u8
Телеканал Футбол,http://d029dcec.kazmazpaz.ru/iptv/D6F3GPB9FFSHNY/5050/index.m3u8
